algoritmo,tempo_ms,n,execucao,cenario
merge,787.912,1000000,1,aleatorio
merge,614.907,1000000,2,aleatorio
merge,607.157,1000000,3,aleatorio
merge,413.826,1000000,4,aleatorio
merge,384.642,1000000,5,aleatorio
merge,382.905,1000000,6,aleatorio
merge,380.536,1000000,7,aleatorio
merge,379.201,1000000,8,aleatorio
merge,385.373,1000000,9,aleatorio
merge,384.860,1000000,10,aleatorio
heap,1227.315,1000000,1,aleatorio
heap,1167.989,1000000,2,aleatorio
heap,924.238,1000000,3,aleatorio
heap,878.010,1000000,4,aleatorio
heap,849.966,1000000,5,aleatorio
heap,836.437,1000000,6,aleatorio
heap,833.382,1000000,7,aleatorio
heap,834.269,1000000,8,aleatorio
heap,856.950,1000000,9,aleatorio
heap,796.538,1000000,10,aleatorio
quick,359.803,1000000,1,aleatorio
quick,276.944,1000000,2,aleatorio
quick,274.306,1000000,3,aleatorio
quick,287.797,1000000,4,aleatorio
quick,305.436,1000000,5,aleatorio
quick,264.068,1000000,6,aleatorio
quick,271.941,1000000,7,aleatorio
quick,281.908,1000000,8,aleatorio
quick,254.238,1000000,9,aleatorio
quick,227.811,1000000,10,aleatorio
shell,1847.587,1000000,1,aleatorio
shell,1468.371,1000000,2,aleatorio
shell,1153.906,1000000,3,aleatorio
shell,1242.923,1000000,4,aleatorio
shell,1287.638,1000000,5,aleatorio
shell,1181.988,1000000,6,aleatorio
shell,1160.920,1000000,7,aleatorio
shell,1176.361,1000000,8,aleatorio
shell,1271.680,1000000,9,aleatorio
shell,1145.869,1000000,10,aleatorio

