algoritmo,tempo_ms,n,execucao,cenario
bubble,0.653,100,1,aleatorio
bubble,0.656,100,2,aleatorio
bubble,0.889,100,3,aleatorio
bubble,0.541,100,4,aleatorio
bubble,0.530,100,5,aleatorio
bubble,0.598,100,6,aleatorio
bubble,0.940,100,7,aleatorio
bubble,0.712,100,8,aleatorio
bubble,0.463,100,9,aleatorio
bubble,0.264,100,10,aleatorio
insertion,0.275,100,1,aleatorio
insertion,0.677,100,2,aleatorio
insertion,0.260,100,3,aleatorio
insertion,0.279,100,4,aleatorio
insertion,0.249,100,5,aleatorio
insertion,0.298,100,6,aleatorio
insertion,0.268,100,7,aleatorio
insertion,0.246,100,8,aleatorio
insertion,0.248,100,9,aleatorio
insertion,0.259,100,10,aleatorio
selection,0.535,100,1,aleatorio
selection,0.480,100,2,aleatorio
selection,0.685,100,3,aleatorio
selection,0.571,100,4,aleatorio
selection,0.481,100,5,aleatorio
selection,0.482,100,6,aleatorio
selection,0.513,100,7,aleatorio
selection,0.827,100,8,aleatorio
selection,0.173,100,9,aleatorio
selection,0.087,100,10,aleatorio
shell,0.186,100,1,aleatorio
shell,0.132,100,2,aleatorio
shell,0.106,100,3,aleatorio
shell,0.097,100,4,aleatorio
shell,0.111,100,5,aleatorio
shell,0.115,100,6,aleatorio
shell,0.129,100,7,aleatorio
shell,0.155,100,8,aleatorio
shell,0.181,100,9,aleatorio
shell,0.209,100,10,aleatorio
heap,0.055,100,1,aleatorio
heap,0.058,100,2,aleatorio
heap,0.054,100,3,aleatorio
heap,0.075,100,4,aleatorio
heap,0.051,100,5,aleatorio
heap,0.043,100,6,aleatorio
heap,0.045,100,7,aleatorio
heap,0.051,100,8,aleatorio
heap,0.070,100,9,aleatorio
heap,0.043,100,10,aleatorio
merge,0.060,100,1,aleatorio
merge,0.066,100,2,aleatorio
merge,0.059,100,3,aleatorio
merge,0.062,100,4,aleatorio
merge,0.093,100,5,aleatorio
merge,0.056,100,6,aleatorio
merge,0.053,100,7,aleatorio
merge,0.048,100,8,aleatorio
merge,0.053,100,9,aleatorio
merge,0.072,100,10,aleatorio
quick,0.082,100,1,aleatorio
quick,0.085,100,2,aleatorio
quick,0.092,100,3,aleatorio
quick,0.096,100,4,aleatorio
quick,0.515,100,5,aleatorio
quick,0.088,100,6,aleatorio
quick,0.097,100,7,aleatorio
quick,0.110,100,8,aleatorio
quick,0.089,100,9,aleatorio
quick,0.088,100,10,aleatorio
