algoritmo,tempo_ms,n,execucao,cenario
bubble,11.577,1000,1,aleatorio
bubble,8.409,1000,2,aleatorio
bubble,7.948,1000,3,aleatorio
bubble,7.278,1000,4,aleatorio
bubble,9.184,1000,5,aleatorio
bubble,8.485,1000,6,aleatorio
bubble,8.257,1000,7,aleatorio
bubble,7.768,1000,8,aleatorio
bubble,7.874,1000,9,aleatorio
bubble,10.080,1000,10,aleatorio
insertion,6.691,1000,1,aleatorio
insertion,5.537,1000,2,aleatorio
insertion,26.378,1000,3,aleatorio
insertion,24.002,1000,4,aleatorio
insertion,2.876,1000,5,aleatorio
insertion,4.283,1000,6,aleatorio
insertion,3.051,1000,7,aleatorio
insertion,4.116,1000,8,aleatorio
insertion,2.643,1000,9,aleatorio
insertion,2.821,1000,10,aleatorio
selection,6.868,1000,1,aleatorio
selection,6.634,1000,2,aleatorio
selection,9.095,1000,3,aleatorio
selection,5.804,1000,4,aleatorio
selection,3.673,1000,5,aleatorio
selection,3.799,1000,6,aleatorio
selection,4.319,1000,7,aleatorio
selection,4.370,1000,8,aleatorio
selection,3.878,1000,9,aleatorio
selection,3.853,1000,10,aleatorio
shell,1.507,1000,1,aleatorio
shell,1.477,1000,2,aleatorio
shell,1.543,1000,3,aleatorio
shell,1.623,1000,4,aleatorio
shell,0.505,1000,5,aleatorio
shell,0.580,1000,6,aleatorio
shell,0.567,1000,7,aleatorio
shell,0.565,1000,8,aleatorio
shell,0.542,1000,9,aleatorio
shell,0.431,1000,10,aleatorio
heap,1.048,1000,1,aleatorio
heap,0.690,1000,2,aleatorio
heap,0.572,1000,3,aleatorio
heap,0.565,1000,4,aleatorio
heap,0.510,1000,5,aleatorio
heap,0.548,1000,6,aleatorio
heap,0.521,1000,7,aleatorio
heap,0.512,1000,8,aleatorio
heap,0.506,1000,9,aleatorio
heap,0.565,1000,10,aleatorio
merge,0.699,1000,1,aleatorio
merge,0.633,1000,2,aleatorio
merge,0.667,1000,3,aleatorio
merge,0.699,1000,4,aleatorio
merge,0.470,1000,5,aleatorio
merge,0.845,1000,6,aleatorio
merge,0.664,1000,7,aleatorio
merge,0.582,1000,8,aleatorio
merge,0.480,1000,9,aleatorio
merge,0.495,1000,10,aleatorio
quick,1.449,1000,1,aleatorio
quick,0.315,1000,2,aleatorio
quick,0.296,1000,3,aleatorio
quick,0.250,1000,4,aleatorio
quick,0.302,1000,5,aleatorio
quick,0.336,1000,6,aleatorio
quick,0.504,1000,7,aleatorio
quick,0.337,1000,8,aleatorio
quick,0.296,1000,9,aleatorio
quick,0.392,1000,10,aleatorio
